(-0.948, -0.288), (-0.844, -0.29)	//Base of hilt
(-0.844, -0.29), (-0.842, 0.052)
(-0.842, 0.052), (-0.946, 0.052)
(-0.946, 0.052), (-0.948, -0.288)
(-0.366, -0.402), (-0.314, -0.402)	//Crosspiece
(-0.314, -0.402), (-0.314, 0.222)
(-0.314, 0.222), (-0.366, 0.222)
(-0.366, 0.222), (-0.366, -0.402)
(-0.842, -0.23), (-0.366, -0.23)	//Grip
(-0.842, -0.004), (-0.366, -0.006)
(-0.314, -0.23), (0.558, -0.23)		//Blade
(0.558, -0.23), (0.72, -0.174)
(0.72, -0.174), (0.828, -0.116)
(0.828, -0.116), (0.878, -0.058)
(0.878, -0.058), (0.952, 0.052)
(0.952, 0.052), (0.108, 0.052)
(0.108, 0.052), (0.108, -0.006)
(0.056, 0.052), (0.056, -0.006)
(0.004, 0.052), (0.004, -0.006)
(-0.048, 0.052), (-0.048, -0.006)
(-0.100, 0.052), (-0.100, -0.006)
(-0.152, 0.052), (-0.152, -0.006)
(-0.204, 0.052), (-0.204, -0.006)
(-0.256, 0.052), (-0.256, -0.006)
(0.108, -0.006), (0.056, -0.006)
(0.004, -0.006), (-0.048, -0.006)
(-0.100, -0.006), (-0.152, -0.006)
(-0.204, -0.006), (-0.256, -0.006)
(0.056, 0.052), (0.004, 0.052)
(-0.048, 0.052), (-0.100, 0.052)
(-0.152, 0.052), (-0.204, 0.052)
(-0.256, 0.052), (-0.314, 0.052)
